date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2023-02-12,2023-02-18,Trade School,False,9.0,9.166666666666666,9.346153846153848,9.0,1.8518518518518376
2023-02-19,2023-02-25,AI Porn,False,9.0,6.583333333333333,3.1346153846153846,2.0,229.16666666666663
2023-02-19,2023-02-25,Best Colleges,False,33.0,29.75,38.42307692307692,28.916666666666668,2.8818443804034644
2023-02-19,2023-02-25,Trade School,False,10.0,9.166666666666666,9.365384615384617,8.916666666666666,2.8037383177569986
2023-02-26,2023-03-04,AI Porn,False,9.0,6.916666666666667,3.269230769230769,2.0,245.83333333333331
2023-02-26,2023-03-04,Best Colleges,False,33.0,30.416666666666668,38.42307692307692,29.58333333333333,2.8169014084507227
2023-02-26,2023-03-04,Trade School,False,11.0,9.333333333333334,9.384615384615383,9.0,3.70370370370372
2023-03-05,2023-03-11,AI Porn,False,9.0,7.25,3.423076923076923,1.9166666666666667,278.2608695652174
2023-03-05,2023-03-11,Best Colleges,False,35.0,31.08333333333333,38.46153846153846,30.25,2.754820936639124
2023-03-05,2023-03-11,Trade School,False,10.0,9.416666666666666,9.403846153846152,9.0,4.629629629629628
2023-03-12,2023-03-18,AI Porn,False,10.0,7.666666666666667,3.576923076923077,1.9166666666666667,300.0
2023-03-12,2023-03-18,Best Colleges,False,34.0,31.58333333333333,38.44230769230769,31.166666666666668,1.3368983957219085
2023-03-12,2023-03-18,Trade School,False,9.0,9.583333333333334,9.403846153846152,9.166666666666666,4.545454545454564
2023-03-19,2023-03-25,AI Porn,False,12.0,8.333333333333334,3.769230769230769,1.9166666666666667,334.78260869565213
2023-03-19,2023-03-25,Best Colleges,False,37.0,32.166666666666664,38.42307692307692,32.333333333333336,-0.5154639175257825
2023-03-19,2023-03-25,Trade School,False,12.0,10.083333333333334,9.442307692307692,9.416666666666666,7.079646017699126
2023-03-26,2023-04-01,AI Porn,False,12.0,9.0,3.9615384615384617,1.9166666666666667,369.5652173913043
2023-03-26,2023-04-01,Best Colleges,False,38.0,32.75,38.38461538461539,33.083333333333336,-1.0075566750629816
2023-03-26,2023-04-01,Trade School,False,10.0,10.166666666666666,9.461538461538462,9.416666666666666,7.964601769911495
2023-04-02,2023-04-08,AI Porn,False,12.0,9.583333333333334,4.173076923076923,1.8333333333333333,422.7272727272728
2023-04-02,2023-04-08,Best Colleges,False,41.0,33.666666666666664,38.38461538461539,33.916666666666664,-0.7371007371007376
2023-04-02,2023-04-08,Trade School,False,9.0,10.083333333333334,9.442307692307692,9.5,6.140350877192979
2023-04-09,2023-04-15,AI Porn,False,13.0,10.25,4.384615384615385,1.8333333333333333,459.09090909090907
2023-04-09,2023-04-15,Best Colleges,False,40.0,34.5,38.38461538461539,34.833333333333336,-0.9569377990430672
2023-04-09,2023-04-15,Trade School,False,10.0,10.083333333333334,9.442307692307692,9.583333333333334,5.217391304347818
2023-04-16,2023-04-22,AI Porn,False,15.0,11.083333333333334,4.634615384615385,1.8333333333333333,504.54545454545456
2023-04-16,2023-04-22,Best Colleges,False,37.0,35.083333333333336,38.28846153846154,35.666666666666664,-1.635514018691575
2023-04-16,2023-04-22,Trade School,False,10.0,10.083333333333334,9.442307692307692,9.583333333333334,5.217391304347818
2023-04-23,2023-04-29,AI Porn,False,14.0,11.166666666666666,4.865384615384615,1.8333333333333333,509.09090909090907
2023-04-23,2023-04-29,Best Colleges,False,42.0,36.0,38.25,36.75,-2.0408163265306145
2023-04-23,2023-04-29,Trade School,False,11.0,10.166666666666666,9.461538461538462,9.583333333333334,6.0869565217391175
